id:ID	name	description
UMLS:C3541966	Serotonin receptor antagonists for functional gastrointestinal disorders	UMLS Semantic Type: STY:T121
CHEBI:253342	alosetron	Alosetron is a 5-HT3 antagonist used only for the management of severe diarrhoea-predominant irritable bowel syndrome (IBS) in women. Alosetron has an antagonist action on the 5-HT3 receptors and thus may modulate serotonin-sensitive gastrointestinal (GI) processes. Alosetron was voluntarily withdrawn from the US market in November 2000 by the manufacturer due to numerous reports of severe adverse effects including ischemic colitis, severely obstructed or ruptured bowel, and death. In June 2002, the FDA approved a supplemental new drug application allowing the remarketing of the drug under restricted conditions of use.
UNII:2J6DQ1U5B5	CILANSETRON	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; Cilansetron is a 5HT-3 antagonist made by Solvay Pharmaceuticals that is currently under trial phase in the EU and US.
UMLS:C3653984	Other drugs for functional gastrointestinal disorders in ATC	UMLS Semantic Type: STY:T121
CHEBI:135159	fenpiprane	FENPIPRANE; FULL_MW:279.43; MAX_FDA_APPROVAL_PHASE: -1.0
CHEBI:135245	diisopromine	DIISOPROMINE; FULL_MW:295.47; MAX_FDA_APPROVAL_PHASE: -1.0
CHEBI:135708	chlorbenzoxamine	CHLORBENZOXAMINE; FULL_MW:435.01; MAX_FDA_APPROVAL_PHASE: -1.0
CHEBI:135811	pinaverium	"An orally available bromide salt form of pinaverium, a calcium channel blocker (CCB) with antispasmodic activity. Upon oral administration, pinaverium blocks the voltage-dependent calcium channels and inhibits calcium ion influx into the smooth muscle cells located in the gastrointestinal (GI) tract. This prevents smooth muscle contraction and relaxes the GI tract. In addition, pinaverium may both reduce bowel uptake of and facilitate the function of locally active, co-administered drugs.; An orally available bromide salt form of pinaverium, a calcium channel blocker (CCB) with antispasmodic activity. Upon oral administration, pinaverium blocks the voltage-dependent calcium channels and inhibits calcium ion influx into the smooth muscle cells located in the gastrointestinal (GI) tract. This prevents smooth muscle contraction and relaxes the GI tract. In addition, pinaverium may both reduce bowel uptake of and facilitate the function of locally active, co-administered drugs. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C116775"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C116775"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:135744	fenoverine	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; Fenoverine has been used in trials studying the treatment of Irritable Bowel Syndrome.
CHEBI:81300	Idanpramine	IDANPRAMINE; FULL_MW:423.51; MAX_FDA_APPROVAL_PHASE: -1.0
CHEBI:135191	proxazole	PROXAZOLE; FULL_MW:287.41; MAX_FDA_APPROVAL_PHASE: -1.0
CHEBI:518413	alverine	Alverine is a smooth muscle relaxant. Smooth muscle is a type of muscle that is not under voluntary control; it is the muscle present in places such as the gut and uterus. Alverine acts directly on the muscle in the gut, causing it to relax. This prevents the muscle spasms which occur in the gut in conditions such as irritable bowel syndrome and diverticular disease. It is used to relieve cramps or spasms of the stomach and intestines. It is also useful in treating irritable bowel syndrome (IBS) and similar conditions. It can also be used to help relieve period pain. Alverine is formulated as the citrate salt (5982-87-6).
CHEBI:32255	Trepibutone	TREPIBUTONE; FULL_MW:310.35; MAX_FDA_APPROVAL_PHASE: -1.0
CHEBI:134765	isometheptene	Isometheptene is only found in individuals that have used or taken this drug. It is a sympathomimetic drug which causes vasoconstriction. It is used for treating migraines and tension headaches.Isometheptene's vasoconstricting properties arise through activation of the sympathetic nervous system via epinephrine and norepinephrine (or their molecular analogues as is the case with this drug). These compounds elicites smooth muscle activation leading to vasoconstriction. These compounds interact with cell surface adrenergic receptors. Such stimuli result in a signal transduction cascade that leads to increased intracellular calcium from the sarcoplasmic reticulum through IP3 mediated calcium release, as well as enhanced calcium entry across the sarcolemma through calcium channels. The rise in intracellular calcium complexes with calmodulin, which in turn activates myosin light chain kinase. This enzyme is responsible for phosphorylating the light chain of myosin to stimulate cross bridge cycling.Once elevated, the intracellular calcium concentration is returned to its basal level through a variety of protein pumps and calcium exchangers located on the plasma membrane and sarcoplasmic reticulum. This reduction in calcium removes the stimulus necessary for contraction allowing for a return to baseline. The drug can also cause vesicular displacement of noradrenaline from the neuron into the synapse with a similar effect as tyramine.
CHEBI:135541	caroverine	CAROVERINE; FULL_MW:365.48; MAX_FDA_APPROVAL_PHASE: -1.0
CHEBI:16204	phloroglucinol	Phloroglucinol is a benzenetriol. It is an organic compound that is used in the synthesis of pharmaceuticals and explosives. This molecule exists in two forms, or tautomers, 1,3,5-trihydroxybenzene, which has phenol-like, and 1,3,5-cyclohexanetrione (phloroglucin), which has ketone-like character. These two tautomers are in equilibrium. Phloroglucinol is a useful intermediate because it is polyfunctional. 1,3,5-Trihydroxybenzene has been found to be a metabolite in Pseudomonas (PMID: 15826166).
ATC:A03AX13	silicones	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T122
CHEBI:135303	valethamate	VALETHAMATE; FULL_MW:306.47; MAX_FDA_APPROVAL_PHASE: -1.0
ATC:A03AX15	menthae piperitae aetheroleum	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T168
CHEBI:136024	trimethyldiphenylpropylamine	TRIMETHYLDIPHENYLPROPYLAMINE; FULL_MW:253.39; MAX_FDA_APPROVAL_PHASE: -1.0
UMLS:C3653182	alverine, combinations	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3654044	BELLADONNA AND DERIVATIVES CONTAINING DRUGS, PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3653983	Belladonna alkaloids, tertiary amines for functional gastrointestinal disorders	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
CHEBI:16684	atropine	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; Atropine is an alkaloid originally synthesized from Atropa belladonna. It is a racemic mixture of d-and l-hyoscyamine, of which only l-hyoscyamine is pharmacologically active.[A251670,L42835] Atropine is generally available as a sulfate salt and can be administered by intravenous, subcutaneous, intramuscular, intraosseous, endotracheal and ophthalmic methods. Oral atropine is only available in combination products.[A251660,L42840] Atropine is a competitive, reversible antagonist of muscarinic receptors that blocks the effects of acetylcholine and other choline esters.[A251660,L42815,L42825,L42835] It has a variety of therapeutic applications, including pupil dilation and the treatment of anticholinergic poisoning and symptomatic bradycardia in the absence of reversible causes.[A251660] Atropine is a relatively inexpensive drug and is included in the World Health Organization List of Essential Medicines.[A251675]
PUBCHEM.COMPOUND:265028	Belladonna total alkaloids	SID50110043; FULL_MW:542.72
UMLS:C3653982	Belladonna alkaloids, semisynthetic, quaternary ammonium compounds for functional gastrointestinal disorders	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
CHEBI:16794	scopolamine	Scopolamine, also known as hyoscine, is a tropane alkaloid drug obtained from plants of the family Solanaceae (nightshades), such as henbane or jimson weed (Datura species). It is part of the secondary metabolites of plants. Scopolamine is used criminally as a date rape drug and as an aid to robbery, the most common act being the clandestine drugging of a victim's drink. It is preferred because it induces retrograde amnesia, or an inability to recall events prior to its administration. Victims of this crime are often admitted to a hospital in police custody, under the assumption that the patient is experiencing a psychotic episode. A telltale sign is a fever accompanied by a lack of sweat. An alkaloid from Solanaceae, especially Datura metel L. and Scopola carniolica. Scopolamine and its quaternary derivatives act as antimuscarinics like atropine, but may have more central nervous system effects. Among the many uses are as an anesthetic premedication, in urinary incontinence, in motion sickness, as an antispasmodic, and as a mydriatic and cycloplegic.
CHEBI:134749	methylatropine	SID50108526; FULL_MW:304.41
CHEBI:61276	scopolamine methobromide	The bromide salt form of methscopolamine, a quaternary ammonium derivative of scopolamine with anticholinergic properties. Methscopolamine bromide exerts its effect on muscarine receptors in the gastrointestinal tract, thereby blocking the actions of acetylcholine. This leads to an inhibition of gastric secretions and gastrointestinal motility.; UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
CHEBI:135781	fentonium	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; Fentonium is an atropine derivative.
UNII:0C7M5WE60Q	CIMETROPIUM BROMIDE	CIMETROPIUM BROMIDE; FULL_MW:438.36; MAX_FDA_APPROVAL_PHASE: 3.0
CHEBI:50373	homatropine methylbromide	The methylbromide salt of homatropine, a synthetic tertiary amine alkaloid with antimuscarinic properties. Homatropine methylbromide, a competitive inhibitor of acetylcholine at the muscarinic receptor, blocks parasympathetic nerve stimulation, thereby inhibiting pepsin and gastrin secretion. When administered in high doses, this drug produces inhibitory effects on acetylcholine activity, specifically on smooth muscle located in the gastrointestinal, biliary, and genitourinary tracts, resulting in an anti-spasmodic effect.; UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3653700	ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS	UMLS Semantic Type: STY:T121
UMLS:C3653641	Synthetic anticholinergic agents in combination with psycholeptics	UMLS Semantic Type: STY:T121
UMLS:C3652454	isopropamide and psycholeptics	UMLS Semantic Type: STY:T121
UMLS:C3652994	clidinium and psycholeptics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3652889	oxyphencyclimine and psycholeptics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3652729	otilonium bromide and psycholeptics	UMLS Semantic Type: STY:T121
UMLS:C3652968	glycopyrronium bromide and psycholeptics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3652926	bevonium and psycholeptics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3653019	ambutonium and psycholeptics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3652989	diphemanil and psycholeptics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3871432	pipenzolate and psycholeptics	UMLS Semantic Type: STY:T121
UMLS:C3652773	emepronium and psycholeptics	UMLS Semantic Type: STY:T121
UMLS:C3653055	propantheline and psycholeptics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3653688	Belladonna and derivatives in combination with psycholeptics	UMLS Semantic Type: STY:T121
UMLS:C3652952	methylscopolamine and psycholeptics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3653008	belladonna total alkaloids and psycholeptics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3652998	atropine and psycholeptics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3652741	homatropine methylbromide and psycholeptics	UMLS Semantic Type: STY:T121
UMLS:C3652757	hyoscyamine and psycholeptics	UMLS Semantic Type: STY:T121
UMLS:C3654043	Other antispasmodics in combination with psycholeptics in ATC	UMLS Semantic Type: STY:T121
UMLS:C3653694	ANTISPASMODICS IN COMBINATION WITH ANALGESICS	UMLS Semantic Type: STY:T121
UMLS:C3653642	Synthetic anticholinergic agents in combination with analgesics	UMLS Semantic Type: STY:T121
UMLS:C3653072	tropenzilone and analgesics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3653001	pitofenone and analgesics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3653000	bevonium and analgesics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3652981	ciclonium and analgesics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3652433	camylofin and analgesics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3653073	trospium and analgesics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3652704	tiemonium iodide and analgesics	UMLS Semantic Type: STY:T121
UMLS:C3653689	Belladonna and derivatives in combination with analgesics	UMLS Semantic Type: STY:T121
UMLS:C3652996	butylscopolamine and analgesics	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3653895	Other antispasmodics in combination with analgesics in ATC	UMLS Semantic Type: STY:T121
UMLS:C3653695	ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS	UMLS Semantic Type: STY:T121
UMLS:C3653699	Antispasmodics, psycholeptics and analgesics in combination	UMLS Semantic Type: STY:T121
UMLS:C3653693	Antispasmodics in combination with other drugs	UMLS Semantic Type: STY:T121
UMLS:C3653283	PROPULSIVES	UMLS Semantic Type: STY:T121
CHEBI:6899	metoclopramide hydrochloride	Metoclopramide is only found in individuals that have used or taken this drug. It is a dopamine D2 antagonist that is used as an antiemetic. [PubChem]Metoclopramide inhibits gastric smooth muscle relaxation produced by dopamine, therefore increasing cholinergic response of the gastrointestinal smooth muscle. It accelerates intestinal transit and gastric emptying by preventing relaxation of gastric body and increasing the phasic activity of antrum. Simultaneously, this action is accompanied by relaxation of the upper small intestine, resulting in an improved coordination between the body and antrum of the stomach and the upper small intestine. Metoclopramide also decreases reflux into the esophagus by increasing the resting pressure of the lower esophageal sphincter and improves acid clearance from the esophagus by increasing amplitude of esophageal peristaltic contractions. Metoclopramide's dopamine antagonist action raises the threshold of activity in the chemoreceptor trigger zone and decreases the input from afferent visceral nerves. Studies have also shown that high doses of metoclopramide can antagonize 5-hydroxytryptamine (5-HT) receptors in the peripheral nervous system in animals.
CHEBI:3720	cisapride	A substituted benzamide used for its prokinetic properties. It is used in the management of gastroesophageal reflux disease, functional dyspepsia, and other disorders associated with impaired gastrointestinal motility. (Martindale The Extra Pharmacopoeia, 31st ed); A substituted piperidinyl benzamide prokinetic agent. Cisapride facilitates release of acetylcholine from the myenteric plexus, resulting in increased gastrointestinal motility. In addition, cisapride has been found to act as a serotonin agonist, stimulating type 4 receptors, and a serotonin 5-HT3 receptor antagonist. (NCI); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
CHEBI:31515	domperidone	Domperidone is only found in individuals that have used or taken this drug. It is a specific blocker of dopamine receptors. It speeds gastrointestinal peristalsis, causes prolactin release, and is used as antiemetic and tool in the study of dopaminergic mechanisms. [PubChem]Domperidone acts as a gastrointestinal emptying (delayed) adjunct and peristaltic stimulant. The gastroprokinetic properties of domperidone are related to its peripheral dopamine receptor blocking properties. Domperidone facilitates gastric emptying and decreases small bowel transit time by increasing esophageal and gastric peristalsis and by lowering esophageal sphincter pressure. Antiemetic: The antiemetic properties of domperidone are related to its dopamine receptor blocking activity at both the chemoreceptor trigger zone and at the gastric level. It has strong affinities for the D2 and D3 dopamine receptors, which are found in the chemoreceptor trigger zone, located just outside the blood brain barrier, which - among others - regulates nausea and vomiting
CHEBI:95304	4-amino-5-bromo-N-[2-(diethylamino)ethyl]-2-methoxybenzamide	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; Bromopride is a dopamine antagonist used as an antiemetic. Its prokinetic properties are similar to those of metoclopramide. It is unavailable in America or the United Kingdom.
CHEBI:94316	6-methoxy-N-[(1-prop-2-enyl-2-pyrrolidinyl)methyl]-2H-benzotriazole-5-carboxamide	Alizapride is only found in individuals that have used or taken this drug. It is a dopamine antagonist with prokinetic and antiemetic effects used in the treatment of nausea and vomiting, including postoperative nausea and vomiting.The anti-emetic action of Alizapride is due to its antagonist activity at D2 receptors in the chemoreceptor trigger zone (CTZ) in the central nervous system (CNS)â€”this action prevents nausea and vomiting triggered by most stimuli. Structurally similar to metoclopramide and, therefore, shares similar other atributres related to emesis and prokinetics.
CHEBI:92309	4-amino-5-chloro-2-methoxy-N-[1-(phenylmethyl)-4-piperidinyl]benzamide	CLEBOPRIDE; FULL_MW:373.88; MAX_FDA_APPROVAL_PHASE: 4.0
CHEBI:94809	N-[[4-[2-(dimethylamino)ethoxy]phenyl]methyl]-3,4-dimethoxybenzamide	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; Itopride is a dopamine D2 antagonist with acetylcholinesterase inhibitory actions.
CHEBI:135642	cinitapride	Cinitapride is only found in individuals that have used or taken this drug.Cinitapride is a gastroprokinetic agent and antiulcer agent of the benzamide class which is marketed in Spain and Mexico. It acts as an agonist of the 5-HT1 and 5-HT4 receptors and as an antagonist of the 5-HT2 receptors.
CHEBI:167204	4-amino-5-chloro-2-ethoxy-N-({4-[(4-fluorophenyl)methyl]morpholin-2-yl}methyl)benzamide	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; Mosapride is under investigation for the treatment and prevention of Postoperative Ileus and Gastric Peroral Endoscopic Pyloromyotomy (G-POEM). Mosapride has been investigated for the treatment and diagnostic of Constipation, Type 2 Diabetes, Functional Dyspepsia, Functional Constipation, and Epigastric Pain Syndrome, among others.
UMLS:C3653765	ANTIEMETICS AND ANTINAUSEANTS	UMLS Semantic Type: STY:T121
UMLS:C3653981	Serotonin (5HT3) antagonists	UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T123
CHEBI:7773	Ondansetron	Ondansetron is a well tolerated drug with few side effects. Headache, constipation, and dizziness are the most commonly reported side effects associated with its use. There have been no significant drug interactions reported with this drugs use. It is broken down by the hepatic cytochrome P450 system and it has little effect on the metabolism of other drugs broken down by this system; Ondansetron is a serotonin 5-HT3 receptor antagonist used mainly to treat nausea and vomiting following chemotherapy. Its effects are thought to be on both peripheral and central nerves. One part is to reduce the activity of the vagus nerve, which is a nerve that activates the vomiting center in the medulla oblongata, the other is a blockage of serotonin receptors in the chemoreceptor trigger zone. It does not have much effect on vomiting due to motion sickness. This drug does not have any effect on dopamine receptors or muscarinic receptors; A competitive serotonin type 3 receptor antagonist. It is effective in the treatment of nausea and vomiting caused by cytotoxic chemotherapy drugs, including cisplatin, and has reported anxiolytic and neuroleptic properties; Ondansetron (INN) is a serotonin 5-HT3 receptor antagonist used mainly to treat nausea and vomiting following chemotherapy. Its effects are thought to be on both peripheral and central nerves. One part is to reduce the activity of the vagus nerve, which is a nerve that activates the vomiting center in the medulla oblongata, the other is a blockage of serotonin receptors in the chemoreceptor trigger zone. It does not have much effect on vomiting due to motion sickness. This drug does not have any effect on dopamine receptors or muscarinic receptors.
CHEBI:5537	granisetron	"An indazole derivative with antiemetic properties. As a selective serotonin receptor antagonist, granisetron competitively blocks the action of serotonin at 5-hydroxytryptamine3 (5-HT3) receptors, resulting in the suppression of chemotherapy- and radiotherapy-induced nausea and vomiting. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C62031"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C62031"" NCI Thesaurus);The hydrochloride salt of an indazole derivative with antiemetic properties. As a selective serotonin receptor antagonist, granisetron competitively blocks the action of serotonin at 5-hydroxytryptamine3 (5-HT3) receptors, resulting in the suppression of chemotherapy- and radiotherapy-induced nausea and vomiting. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C1353"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C1353"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:32269	tropisetron	"The hydrochloride salt form of tropisetron, a selective, competitive serotonin 5-hydroxytryptamine type 3 (5-HT3) receptor antagonist, with antinauseant and antiemetic activities. Tropisetron competitively binds to and blocks the action of serotonin at 5HT3 receptors peripherally on vagus nerve terminals located in the gastrointestinal (GI) tract as well as centrally in the chemoreceptor trigger zone (CTZ) of the area postrema of the central nervous system (CNS). This results in the suppression of chemotherapy- and radiotherapy-induced nausea and vomiting.; The hydrochloride salt form of tropisetron, a selective, competitive serotonin 5-hydroxytryptamine type 3 (5-HT3) receptor antagonist, with antinauseant and antiemetic activities. Tropisetron competitively binds to and blocks the action of serotonin at 5HT3 receptors peripherally on vagus nerve terminals located in the gastrointestinal (GI) tract as well as centrally in the chemoreceptor trigger zone (CTZ) of the area postrema of the central nervous system (CNS). This results in the suppression of chemotherapy- and radiotherapy-induced nausea and vomiting. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C95284"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C95284"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:4682	dolasetron	"An indole derivative with antiemetic activity. As a selective serotonin receptor antagonist, dolasetron mesylate competitively blocks the action of serotonin at 5HT3 receptors, resulting in suppression of chemotherapy- and radiotherapy-induced nausea and vomiting. (NCI04); An indole derivative with antiemetic activity. As a selective serotonin receptor antagonist, dolasetron mesylate competitively blocks the action of serotonin at 5HT3 receptors, resulting in suppression of chemotherapy- and radiotherapy-induced nausea and vomiting. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C1153"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C1153"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:85157	palonosetron hydrochloride	"The hydrochloride salt of palonosetron, a carbazole derivative and a selective serotonin receptor antagonist with antiemetic activity. Palonosetron competitively blocks the action of serotonin at 5-hydroxytryptamine type 3 (5-HT3) receptors located on vagal afferents in the chemoreceptor trigger zone (CTZ), resulting in suppression of chemotherapy-induced nausea and vomiting. The CTZ is located in the area postrema on the dorsal surface of the medulla oblongata at the caudal end of the fourth ventricle and outside the blood-brain barrier (BBB).; The hydrochloride salt of palonosetron, a carbazole derivative and a selective serotonin receptor antagonist with antiemetic activity. Palonosetron competitively blocks the action of serotonin at 5-hydroxytryptamine type 3 (5-HT3) receptors located on vagal afferents in the chemoreceptor trigger zone (CTZ), resulting in suppression of chemotherapy-induced nausea and vomiting. The CTZ is located in the area postrema on the dorsal surface of the medulla oblongata at the caudal end of the fourth ventricle and outside the blood-brain barrier (BBB). Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C47650"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C47650"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
UMLS:C3871434	palonosetron, combinations	UMLS Semantic Type: STY:T121
UMLS:C3654042	Other antiemetics in ATC	UMLS Semantic Type: STY:T121
UNII:96P72VE680	CEROUS OXALATE	CERIUM OXALATE; FULL_MW:562.30; MAX_FDA_APPROVAL_PHASE: -1.0
CHEBI:134813	chlorobutanol	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; Chlorobutanol, or chlorbutol, is an alcohol-based preservative with no surfactant activity [A32746]. It also elicits sedative-hypnotic and weak local anesthetic actions in addition to antibacterial and antifungal properties. Similar in nature to chloral hydrate, it is formed by the simple nucleophilic addition of chloroform and acetone.     As a long-term stabilizer of multi-ingredient preparations, chlorobutanol is normally used at a concentration of 0.5%. At this concentration, it also conserves its antimicrobial activity.     Due to the long terminal half-life of 37 days, the use of chlorobutanol as a sedative is limited because of the considerable accumulation which will occur following multiple dosing [A32743]. Chlorobutanol is a common detergent preservative in eye drops and other ophthalmic therapeutic formulations [A32744].
CHEBI:135726	metopimazine	METOPIMAZINE; FULL_MW:445.61; MAX_FDA_APPROVAL_PHASE: -1.0
CHEBI:66964	Delta(9)-tetrahydrocannabinol	"Tetrahydrocannabinol, abbreviated THC, is a cannabinoid identified in cannabis and is its principal psychoactive constituent. First isolated in 1964, in its pure form, it is a glassy solid when cold, and becomes viscous and sticky if warmed. Synthetically prepared THC, officially referred to by its INN, dronabinol, is available by prescription in the U.S. and Canada under the brand name Marinol. The mechanism of action of THC is not completely understood. It is thought that cannabinoid receptors in neural tissues may mediate the effects of cannabinoids. Animal studies suggest that Marinol's antiemetic effects may be due to inhibition of the vomiting control mechanism in the medulla oblongata. A literature review on the subject concluded that ""Cannabis use appears to be neither a sufficient nor a necessary cause for psychosis. It is a component cause, part of a complex constellation of factors leading to psychosis."" Likewise, a French review from 2009 came to a conclusion that cannabis use, particularly that before age 15, was a factor in the development of schizophrenic disorders. An aromatic terpenoid, THC has a very low solubility in water, but good solubility in most organic solvents, specifically lipids and alcohols. The presence of these specialized cannabinoid receptors in the brain led researchers to the discovery of endocannabinoids, such as anandamide and 2-arachidonoyl glyceride (2-AG). THC targets receptors in a manner far less selective than endocannabinoid molecules released during retrograde signalling, as the drug has a relatively low cannabinoid receptor efficacy and affinity. In populations of low cannabinoid receptor density, THC may act to antagonize endogenous agonists that possess greater receptor efficacy. THC is a lipophilic molecule and may bind non-specifically to a variety of receptors in the brain and body, such as adipose tissue. Dronabinol is only found in individuals that have used or taken this drug. It is extracted from the resin of Cannabis sativa (marijuana, hashish). The isomer delta-9-tetrahydrocannabinol is considered the most active form, producing the characteristic mood and perceptual changes associated with this compound. In the United States, Marinol has been rescheduled from Schedule II to Schedule III of the Controlled Substances Act in 1999, reflecting a finding that THC had a potential for abuse less than that of cocaine and heroin. As a Schedule III drug, it is available by prescription and is considered to be non-narcotic and to have a low risk of physical or mental dependence. Marinol has been approved by the U.S. Food and Drug Administration (FDA) in the treatment of anorexia in AIDS patients, as well as for refractory nausea and vomiting of patients undergoing chemotherapy, which has raised much controversy as to why natural THC is still a Schedule I drug. Efforts to get cannabis rescheduled as analogous to Marinol have not succeeded thus far. In April 2005, Canadian authorities approved the marketing of Sativex, a mouth spray for multiple sclerosis patients, who can use it to alleviate neuropathic pain and spasticity. Sativex contains tetrahydrocannabinol together with cannabidiol and is a preparation of whole cannabis rather than individual cannabinoids. It is marketed in Canada by GW Pharmaceuticals, being the first cannabis-based prescription drug in the world (in modern times). In addition, Sativex received European regulatory approval in 2010. An analog of dronabinol, nabilone, is available commercially in Canada under the trade name Cesamet, manufactured by Valeant Pharmaceuticals. Cesamet has also received FDA approval and began marketing in the U.S. in 2006. It is a Schedule II drug."
